replicated_position_id,pair,pool_address,fee_tier,fees_accrued_usd_onchain,growth_usd_ratio,growth_token0_ratio,growth_token1_ratio,aggregate_usd_ratio,aggregate_token0_ratio,aggregate_token1_ratio,event_usd_ratio,event_token0_ratio,event_token1_ratio,observations,swaps_in_range,growth_seconds,aggregate_seconds,event_seconds,growth_total_seconds,aggregate_total_seconds,event_total_seconds
5467784,ETH/USDC,0x6c561b446416e1a00e8e93e221854d6ea4171372,3000,0.0009118326817678711,0.9999999990324169,0.9999999990647597,0.9999999990020483,0.9863731552517241,,,1.0013817036258676,0.9998619817538584,1.002808658420767,149,38939,0.007,0.0056,0.0025,5.38,5.38,39.8
5467785,ETH/USDC,0xd0b53d9277642d899df5c87a3966a349a798f224,500,0.0009718921846945928,0.9999999737201403,0.999999973858745,0.999999973584243,0.9960420103568567,,,1.0013677364690947,0.9983183189147166,1.0043575886160698,149,116914,0.0104,0.0072,0.0031,7.65,7.65,65.91
5467787,ETH/USDC,0x0b1c2dcbbfa744ebd3fc17ff1a96a1e1eb4b2d69,10000,0.0011177010459171102,0.9999998236596114,0.9999998315808033,0.9999998168939263,1.0157502842239428,,,1.0021536623779579,0.9999344094613368,1.0040491809700116,147,1908,0.0145,0.0082,0.0014,4.77,4.76,11.29
5467788,ETH/USDC,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0.000750569282372939,0.999999281360992,0.9999992828832649,0.9999992798593068,0.9993996322863247,,,1.001410992946953,0.9984230401707664,1.0043585363172536,149,204401,0.0078,0.0064,0.0054,6.16,6.16,145.13
5467789,ETH/USDC,0x18b497f71122622557e4634c47a05647ff859f47,300,0.0005608139838504694,0.9986014818478701,0.9986463920285457,0.9985577034050952,1.3196338751010008,,,1.0122128126130745,0.9118121895535082,1.1100833369588126,149,2502,0.0051,0.0043,0.0014,4.75,4.75,19.96
5467790,cbBTC/USDC,0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,500,0.00047876336183499106,0.9999999784094515,0.9999999783499106,0.9999999784698901,1.0113581210490807,,,0.9999649992158232,1.001039627071244,0.9988741696560534,149,39201,0.0125,0.0089,0.0019,5.7,5.69,39.06
5467791,cbBTC/USDC,0xec558e484cc9f2210714e345298fdc53b253c27d,3000,0.0005131631191372553,0.99999993827583,0.9999999387095416,0.9999999377956976,1.0185316351110068,,,1.0000999262881805,1.0005904329123336,0.9995569200760134,146,3824,0.0106,0.0097,0.0012,4.95,4.95,23.96
5467793,cbBTC/USDC,0x3e7586d52a9d07f8611b8ecf6ccc8a689c34a659,10000,0.0009274780850954425,0.9999777260121661,0.9999772495803505,0.9999783070227716,0.9985061276332451,,,0.9992482532409309,1.0008656251476051,0.9972758613898198,51,228,0.0029,0.0031,0.0019,5.7,5.7,11.73
5467795,ETH/cbBTC,0x8c7080564b5a792a33ef2fd473fba6364d5495e5,3000,0.00019574548992092532,0.99999999400556,0.9999999941556513,0.9999999938639572,0.9328088120467807,,,1.002439537065362,1.0019136592988103,1.0029356738611748,149,3626,0.0045,0.0053,0.0011,5.84,5.84,25.55
5467796,ETH/cbBTC,0x7aea2e8a3843516afa07293a10ac8e49906dabd1,500,0.00021513742291430756,0.9999999830877678,0.9999999834381572,0.9999999827414439,0.9245749794344026,,,1.0020282233798596,0.9989954618905746,1.0050257954669626,148,22760,0.0095,0.0105,0.0017,6.33,6.33,22.87
5467798,ETH/cbBTC,0x233571eae953d9d59eefc0769f71dc19287ddccb,10000,0.00015403184012533063,0.9999989215668578,0.9999989555943946,0.9999989110984022,0.8326763486760717,,,1.0026664251468507,0.9999999990469555,1.0034867420520932,26,125,0.0008,0.0008,0.0013,5.84,5.84,5.7
5472971,EURC/USDC,0x7279c08a36333e12c3fc81747963264c100d66fb,500,5.963075070767507e-05,0.9999989581190328,0.9999989463948231,0.9999989702155396,1.011444238193694,,,0.9989524201308017,1.0097597537433656,0.9878019043793894,130,1133,0.0072,0.0053,0.0015,4.79,4.79,8.06
5472973,EURC/USDC,0x03d8219070e54a55a9ce60889ead2ffd18eb6aa9,3000,7.020895681262922e-06,0.9999852436017008,0.9999852438769276,0.9999852431223173,1.0681803856561365,,,0.9999717012885008,0.9999710093930962,0.9999729064158048,11,17,0.0012,0.0012,0.0022,4.42,4.42,8.62
