replicated_position_id,pair,pool_address,fee_tier,fees_accrued_usd,fees_accrued_token0,fees_accrued_token1,fees_accrued_usd_onchain,fees_accrued_token0_onchain,fees_accrued_token1_onchain,usd_ratio,token0_ratio,token1_ratio
5467784,ETH/USDC,0x6c561b446416e1a00e8e93e221854d6ea4171372,3000,0.0009104086665274683,2.5194688264574557e-07,0.00047026888054431165,0.0009104086674085396,2.519468828814503e-07,0.0004702688810136174,0.9999999990322245,0.9999999990644665,0.9999999990020481
5467785,ETH/USDC,0xd0b53d9277642d899df5c87a3966a349a798f224,500,0.0009714856901242328,2.7596780930363325e-07,0.000490586126590059,0.000971485715656047,2.759678165182257e-07,0.0004905861395497752,0.9999999737187961,0.9999999738571239,0.9999999735831995
5467787,ETH/USDC,0x0b1c2dcbbfa744ebd3fc17ff1a96a1e1eb4b2d69,10000,0.0011177008488212734,2.953803970890194e-07,0.0006028186125633221,0.0011177010459171102,2.95380446836757e-07,0.0006028187229430916,0.9999998236596114,0.9999998315808033,0.9999998168939263
5467788,ETH/USDC,0xb4cb800910b228ed3d0834cf79d697127bbb00e5,100,0.0007500915158324492,2.1370574683912944e-07,0.0003776149002922227,0.0007500920549018074,2.137059000982641e-07,0.0003776151722398745,0.9999992813290652,0.9999992828502414,0.9999992798285878
5467789,ETH/USDC,0x18b497f71122622557e4634c47a05647ff859f47,300,0.0005597588987399629,1.5863279892661497e-07,0.00028357516384977597,0.0005605439723135107,1.5884820508312797e-07,0.0002839852098298711,0.9985994433758558,0.9986439496977616,0.9985561009309578
5467790,cbBTC/USDC,0xfbb6eed8e7aa03b138556eedaf5d271a5e1e43ef,500,0.0004787017761879624,0.00024113496740883379,3.789962048918557e-09,0.00047870178652341757,0.00024113497262943622,3.7899621305170675e-09,0.9999999784094076,0.9999999783498744,0.9999999784698349
5467791,cbBTC/USDC,0xec558e484cc9f2210714e345298fdc53b253c27d,3000,0.0005127591616408701,0.00026961517523106757,3.869638322841461e-09,0.0005127591932882917,0.00026961519175590625,3.869638563517479e-09,0.9999999382801478,0.9999999387095416,0.9999999378040055
5467793,cbBTC/USDC,0x3e7586d52a9d07f8611b8ecf6ccc8a689c34a659,10000,0.0009274574264598589,0.0005095902466210722,6.653685069460421e-09,0.0009274780850954425,0.0005096018402767926,6.653829410830312e-09,0.9999777260121661,0.9999772495803505,0.9999783070227716
5467795,ETH/cbBTC,0x8c7080564b5a792a33ef2fd473fba6364d5495e5,3000,0.0001951439500251688,5.397696609515965e-08,1.608110927600447e-09,0.00019514395119521032,5.397696641070513e-08,1.6081109374678845e-09,0.9999999940042132,0.9999999941540716,0.9999999938639572
5467796,ETH/cbBTC,0x7aea2e8a3843516afa07293a10ac8e49906dabd1,500,0.00021525044446216672,6.134801319006046e-08,1.7274442483290258e-09,0.00021525044810316135,6.134801420644178e-08,1.7274442781423389e-09,0.9999999830848453,0.9999999834325312,0.9999999827413749
5467798,ETH/cbBTC,0x233571eae953d9d59eefc0769f71dc19287ddccb,10000,0.00015164867807024895,1.9181445690958638e-08,1.8806854284672535e-09,0.00015164884169986033,1.9181465724866445e-08,1.8806874763508514e-09,0.9999989209966291,0.9999989555590748,0.9999989110984022
5472971,EURC/USDC,0x7279c08a36333e12c3fc81747963264c100d66fb,500,5.962373315244607e-05,2.6491087838683322e-05,2.9349356676012296e-05,5.962379527473033e-05,2.6491115751144842e-05,2.9349386899554847e-05,0.9999989580957741,0.9999989463463229,0.9999989702155396
5472973,EURC/USDC,0x03d8219070e54a55a9ce60889ead2ffd18eb6aa9,3000,7.020792078129832e-06,3.903924188352227e-06,2.5606724423455417e-06,7.020895681262922e-06,3.903981795988081e-06,2.560710230433193e-06,0.9999852436017008,0.9999852438769276,0.9999852431223173
