market,variant,pendle,morpho,hedge,bar,bars,start,end,target_ltv,leverage_at_entry,pt_apy_at_entry,borrow_apy_mean,funding_apr_mean,boros_mark_apr_mean,realised_apy,final_equity,max_drawdown,hedge_coverage_mean,hedge_pnl,liquidations,min_health_factor,debt_changes,hedge_margin_share,hedge_ratio
susde_26nov2026,none,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,2.474886919054606,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,-5.102657029432134e-05,99659.9059345223,-0.0033870396499080524,,0.0,0,1.533027539905977,0,0.0,0.0
susde_26nov2026,boros,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,BINANCE-ETHUSDT-25DEC2026,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,2.2269611001140683,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,0.05553597081743411,100105.77968202262,-0.005598172324864703,0.49535003887735546,384.55409468039215,0,1.5330291696728575,0,0.1,0.5
susde_26nov2026,boros,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,BINANCE-ETHUSDT-25DEC2026,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,2.2272185536141658,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,0.11398316002581255,100490.33377670305,-0.011049498775673516,0.9907000777547109,769.108189360817,0,1.5330291696728575,0,0.1,1.0
susde_26nov2026,boros,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,BINANCE-ETHUSDT-25DEC2026,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,1.7312618033359093,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,0.04293250745423727,100123.34942982536,-0.004360900018345659,0.49535003887735546,299.27138271151125,0,1.5330323921567126,0,0.3,0.5
susde_26nov2026,boros,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,BINANCE-ETHUSDT-25DEC2026,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,1.7314173952217295,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,0.08761444963398968,100422.62081253689,-0.008625823537678157,0.9907000777547109,598.542765423037,0,1.5330323921567126,0,0.3,1.0
susde_26nov2026,perp,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,ETHUSDT basis,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,2.2268302194561365,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,-0.00036186837357721213,99713.25033489433,-0.00308543408176154,0.049815581847835556,-7.975252447893581,0,1.5330291696728575,0,0.1,0.5
susde_26nov2026,perp,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,ETHUSDT basis,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,2.2268302194561365,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,-0.00036186837357721213,99713.25033489433,-0.00308543408176154,0.049815581847835556,-7.975252447893581,0,1.5330291696728575,0,0.1,1.0
susde_26nov2026,perp,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,ETHUSDT basis,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,1.7314010348309563,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,-0.0009824600552819085,99800.15228977018,-0.0024861788175686295,0.19203425805271948,-23.925757343680743,0,1.5330323921567126,0,0.3,0.5
susde_26nov2026,perp,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,ETHUSDT basis,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.6,1.7314010348309563,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,-0.0009824600552819085,99800.15228977018,-0.0024861788175686295,0.19203425805271948,-23.925757343680743,0,1.5330323921567126,0,0.3,1.0
susde_26nov2026,none,PT-sUSDe-26NOV2026,PT-sUSDE-26NOV2026 / USDC,,hour,643,2026-08-19 20:00:00+00:00,2026-09-15 14:00:00+00:00,0.7,3.199302131807634,0.040694709285520325,0.032151358293978416,0.05567463639191292,0.05656393513025937,-0.009289595189151956,99506.06544444594,-0.0044582788887636005,,0.0,0,1.3289960207073366,0,0.0,0.0
