market,variant,pendle,morpho,hedge,bar,bars,start,end,target_ltv,leverage_at_entry,pt_apy_at_entry,borrow_apy_mean,funding_apr_mean,boros_mark_apr_mean,realised_apy,final_equity,max_drawdown,hedge_coverage_mean,hedge_pnl,liquidations,min_health_factor,debt_changes,hedge_margin_share,hedge_ratio
susde_7may2026_pyusd,none,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,2.4748321342393838,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.04916822037639035,100692.91141262586,-0.001323545286960992,,0.0,0,1.5350001958864938,1,0.0,0.0
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,2.2272787404748975,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.042671799048694004,100600.96261697127,-0.0011922271431651366,0.1341876025539548,-23.374932592860205,0,1.535000244803838,1,0.1,0.5
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,2.227309113657452,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.04118628285959236,100577.58768437842,-0.0011925043554195103,0.2683752051079096,-46.749865185711315,0,1.535000244803838,1,0.1,1.0
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,1.7321744910019141,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.03305541140041557,100468.53087239614,-0.0009284280941491696,0.13418760255395476,-18.18078806282938,0,1.5350003426415566,1,0.3,0.5
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,1.7321928615913018,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.03190888808005887,100450.3500843333,-0.0009285961944897059,0.2683752051079095,-36.36157612566603,0,1.5350003426415566,1,0.3,1.0
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,2.2273746112478436,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.04094158555985894,100571.00329340392,-0.0012033706610367068,0.049498258983235455,-53.33425616021486,0,1.535000244803838,1,0.1,0.5
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,2.2273746112478436,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.04094158555985894,100571.00329340392,-0.0012033706610367068,0.049498258983235455,-53.33425616021486,0,1.535000244803838,1,0.1,1.0
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,1.7324506664625716,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.024651750130271877,100326.70889197831,-0.0009622389113054242,0.1909188638905659,-160.00276848064823,0,1.5350003426415566,1,0.3,0.5
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.6,1.7324506664625716,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.024651750130271877,100326.70889197831,-0.0009622389113054242,0.1909188638905659,-160.00276848064823,0,1.5350003426415566,1,0.3,1.0
susde_7may2026_pyusd,none,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,3.1989494358492214,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.05518436526232606,100768.07519625666,-0.0017299044864704793,,0.0,0,1.3307528742705865,1,0.0,0.0
